id,title,summary,published,url,created_at
169477,Ukraine: Boris Johnson to meet key eastern European allies,"The prime minister arrives in Poland and will warn of ""grave consequences"" if Russia succeeds in Ukraine.",2022-03-01 08:50:34 UTC,https://www.bbc.co.uk/news/uk-60565392?at_medium=RSS&at_campaign=KARANGA,2022-03-01 09:00:08 UTC
169485,What are the latest rules for face coverings and masks?,Rules around face coverings are easing across the UK but they are still required in some settings.,2022-03-01 09:53:08 UTC,https://www.bbc.co.uk/news/health-51205344?at_medium=RSS&at_campaign=KARANGA,2022-03-01 10:00:08 UTC
169491,'I hope I won't have to use the gun' - Stakhovsky and Lomachenko signing up to fight for Ukraine,Ukrainian tennis player Sergiy Stakhovsky and boxer Vasiliy Lomachenko sign up to help their nation's defence against Russia's invasion.,2022-03-01 10:46:09 UTC,https://www.bbc.co.uk/sport/60568572?at_medium=RSS&at_campaign=KARANGA,2022-03-01 12:00:09 UTC
169507,Ukraine conflict: Vasiliy Lomachenko & Sergiy Stakhovsky sign up to fight Russia,Ukrainian tennis player Sergiy Stakhovsky and boxer Vasiliy Lomachenko sign up to help their nation's defence against Russia's invasion.,2022-03-01 10:46:09 UTC,https://www.bbc.co.uk/sport/60568572?at_medium=RSS&at_campaign=KARANGA,2022-03-01 15:00:07 UTC
169486,"Ukraine: Vladimir Putin using 'barbaric' tactics, Boris Johnson says","Russia's president has ""underestimated"" Ukraine and the West's resolve, says PM as he meets allies.",2022-03-01 10:51:11 UTC,https://www.bbc.co.uk/news/uk-60565392?at_medium=RSS&at_campaign=KARANGA,2022-03-01 11:00:08 UTC
169495,How many nuclear weapons does Russia have?,A look at Russia's nuclear arsenal and basic guide to nuclear weapons and their destructive power,2022-03-01 10:52:33 UTC,https://www.bbc.co.uk/news/world-europe-60564123?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:10 UTC
169488,"Ukraine: Vladimir Putin using barbaric tactics, Boris Johnson says","Russia's president has underestimated Ukraine and the West's resolve, says PM as he meets allies.",2022-03-01 11:20:49 UTC,https://www.bbc.co.uk/news/uk-60565392?at_medium=RSS&at_campaign=KARANGA,2022-03-01 12:00:08 UTC
169499,Everton receive handball apology from referees' boss Riley,Everton receive an apology from the head of the professional referees body Mike Riley after they were denied a penalty in their 1-0 defeat by Manchester City.,2022-03-01 11:33:31 UTC,https://www.bbc.co.uk/sport/football/60572525?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:10 UTC
169489,Boris Johnson promises more help for Ukrainian refugees,The PM's comments follow criticism that the UK isn't doing enough for people fleeing the war.,2022-03-01 11:41:24 UTC,https://www.bbc.co.uk/news/uk-politics-60569292?at_medium=RSS&at_campaign=KARANGA,2022-03-01 12:00:08 UTC
169487,Ukraine conflict: Russia bombs Kharkiv's Freedom Square and opera house,"Missiles hit the the cultural heart of the city, targeting an opera house, concert hall and offices.",2022-03-01 11:44:14 UTC,https://www.bbc.co.uk/news/world-europe-60567162?at_medium=RSS&at_campaign=KARANGA,2022-03-01 12:00:08 UTC
169490,Southend: Prince Charles to present city status document,Southend is to become a city in memory of the area's former MP Sir David Amess.,2022-03-01 11:48:38 UTC,https://www.bbc.co.uk/news/uk-england-essex-60568792?at_medium=RSS&at_campaign=KARANGA,2022-03-01 12:00:08 UTC
169492,Ukrainian reporter's tearful question for UK PM,Boris Johnson is confronted by a visibly angry journalist who questions some of the sanctions on Russia.,2022-03-01 12:07:03 UTC,https://www.bbc.co.uk/news/uk-politics-60573182?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:09 UTC
169502,Ukrainian's tearful question for UK PM,Boris Johnson is confronted by a visibly angry Ukrainian who questions some of the sanctions on Russia.,2022-03-01 12:07:03 UTC,https://www.bbc.co.uk/news/uk-politics-60573182?at_medium=RSS&at_campaign=KARANGA,2022-03-01 14:00:08 UTC
169504,UK's most wanted woman Sarah Panitzke arrested in Spain,Sarah Panitzke is arrested in Spain after nearly a decade on the run over her part in a £1bn scam.,2022-03-01 12:16:32 UTC,https://www.bbc.co.uk/news/uk-england-york-north-yorkshire-60572717?at_medium=RSS&at_campaign=KARANGA,2022-03-01 14:00:09 UTC
169498,"Ukraine conflict: How to help yourself, your kids, and others",Some practical ways to help yourself and others affected by the conflict.,2022-03-01 12:39:50 UTC,https://www.bbc.co.uk/news/uk-60557186?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:10 UTC
169494,Southend: Prince Charles presents city status document,Southend becomes a city in memory of the area's former MP Sir David Amess.,2022-03-01 12:50:11 UTC,https://www.bbc.co.uk/news/uk-england-essex-60568792?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:09 UTC
169496,How many are fleeing and where may they go? ,The EU says up to four million people may try to escape the war in Ukraine.,2022-03-01 12:51:04 UTC,https://www.bbc.co.uk/news/world-60555472?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:10 UTC
169529,Barcelona's Ousmane Dembele stars in La Liga five best goals of the week,Watch the five best goals from the weekend's La Liga action including goals from Ousmane Dembele and Karim Benzema.,2022-03-01 12:51:45 UTC,https://www.bbc.co.uk/sport/av/football/60574577?at_medium=RSS&at_campaign=KARANGA,2022-03-01 18:00:10 UTC
169493,Queen carrying out virtual engagements,"After cancelling events because of Covid, the Queen is taking part in virtual engagements again.",2022-03-01 12:51:51 UTC,https://www.bbc.co.uk/news/uk-60572769?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:09 UTC
169501,Queen recovers to carry out virtual engagements,"After cancelling events because of Covid, the Queen is taking part in virtual engagements again.",2022-03-01 12:51:51 UTC,https://www.bbc.co.uk/news/uk-60572769?at_medium=RSS&at_campaign=KARANGA,2022-03-01 14:00:08 UTC
169506,Holders Chelsea to host Birmingham in Women's FA Cup quarter-finals,"Holders Chelsea will host Birmingham City in the quarter-finals of the Women's FA Cup, while Manchester City play Everton and Arsenal face Coventry United.",2022-03-01 12:53:04 UTC,https://www.bbc.co.uk/sport/football/60567725?at_medium=RSS&at_campaign=KARANGA,2022-03-01 14:00:09 UTC
169503,Southend: Prince Charles presents city status document,Southend-on-Sea becomes a city in memory of the area's former MP Sir David Amess.,2022-03-01 13:05:15 UTC,https://www.bbc.co.uk/news/uk-england-essex-60568792?at_medium=RSS&at_campaign=KARANGA,2022-03-01 14:00:08 UTC
169512,England's Roy takes 'short break' from cricket after pulling out of IPL,"England opener Jason Roy takes a ""short indefinite break from cricket"" after pulling out of the Indian Premier League.",2022-03-01 13:18:43 UTC,https://www.bbc.co.uk/sport/cricket/60571660?at_medium=RSS&at_campaign=KARANGA,2022-03-01 15:00:08 UTC
169510,Russia set for Paralympics decision as Ukraine squad travels to Beijing,"A decision over Russia's involvement at the 2022 Paralympics will be made on Wednesday, says the International Paralympic Committee.",2022-03-01 13:41:56 UTC,https://www.bbc.co.uk/sport/disability-sport/60572242?at_medium=RSS&at_campaign=KARANGA,2022-03-01 15:00:08 UTC
169500,Ukraine conflict: Shares fall and oil rises as Russian attacks continue,Europe's stock markets fall as France's finance minister warns of an economic war against Russia,2022-03-01 13:46:19 UTC,https://www.bbc.co.uk/news/business-60557077?at_medium=RSS&at_campaign=KARANGA,2022-03-01 14:00:08 UTC
169515,Nigerian student in Ukraine: 'They said black people should walk',Nigerian student Jessica Orakpo tells the BBC about the racism she faced trying to flee Ukraine.,2022-03-01 14:03:28 UTC,https://www.bbc.co.uk/news/world-africa-60573719?at_medium=RSS&at_campaign=KARANGA,2022-03-01 16:00:08 UTC
169511,Hodgkinson to race in 800m and 4x400m relay at World Indoors,Olympic silver medallist Keely Hodgkinson is named in a 33-strong Great Britain squad for this month's World Indoor Championships.,2022-03-01 14:13:34 UTC,https://www.bbc.co.uk/sport/athletics/60575583?at_medium=RSS&at_campaign=KARANGA,2022-03-01 15:00:08 UTC
169508,Ukraine crisis: How many refugees and where might they go?,The EU says up to four million people may try to escape the war in Ukraine.,2022-03-01 14:38:23 UTC,https://www.bbc.co.uk/news/world-60555472?at_medium=RSS&at_campaign=KARANGA,2022-03-01 15:00:07 UTC
169509,"Louis Tomlinson, Nick Cave and Franz Ferdinand pull Russian tour dates",The One Direction star is among those to postpone Moscow shows due to the conflict in Ukraine.,2022-03-01 14:43:21 UTC,https://www.bbc.co.uk/news/entertainment-arts-60567973?at_medium=RSS&at_campaign=KARANGA,2022-03-01 15:00:07 UTC
169539,"Sainsbury’s to close 200 cafes putting 2,000 jobs at risk",The supermarket chain says it is planning to close 200 of its in-store cafes next month.,2022-03-01 14:54:12 UTC,https://www.bbc.co.uk/news/business-60574697?at_medium=RSS&at_campaign=KARANGA,2022-03-01 20:00:09 UTC
169520,Adele and The Weeknd had the biggest global hits of 2021,"Adele's album 30 and The Weeknd's single Save Your Tears were the world's best-sellers, data shows.",2022-03-01 15:00:31 UTC,https://www.bbc.co.uk/news/entertainment-arts-60569918?at_medium=RSS&at_campaign=KARANGA,2022-03-01 17:00:10 UTC
169514,Southend: Prince Charles presents city status document to Essex resort,"The prince remembers stabbed MP Sir David Amess, and says democracy is under attack in Ukraine.",2022-03-01 15:03:54 UTC,https://www.bbc.co.uk/news/uk-england-essex-60568792?at_medium=RSS&at_campaign=KARANGA,2022-03-01 16:00:07 UTC
